refno	poetry	anvaya
vrd_ramayana_anvaya_1_1_12	धर्मज्ञस्सत्यसन्धश्च प्रजानां च हिते रतः यशस्वी ज्ञानसम्पन्नश्शुचिर्वश्यस्समाधिमान्	धर्मज्ञः सत्यसन्धः प्रजानाम् हिते रतः यशस्वी ज्ञानसम्पन्नः शुचिः वश्यः समाधिमान्
vrd_ramayana_anvaya_1_1_13	प्रजापतिसमश्श्रीमान् धाता रिपुनिषूदनः रक्षिता जीवलोकस्य धर्मस्य परिरक्षिता	प्रजापतिसमः श्रीमान् धाता रिपुनिषूदनः रक्षिता जीवलोकस्य धर्मस्य परिरक्षिता
vrd_ramayana_anvaya_1_1_14	रक्षिता स्वस्य धर्मस्य स्वजनस्य च रक्षिता वेदवेदाङ्गतत्त्वज्ञो धनुर्वेदे च निष्ठितः	स्वस्य धर्मस्य रक्षिता स्वजनस्य च रक्षिता वेदवेदाङ्गतत्त्वज्ञः धनुर्वेदे च निष्ठितः
vrd_ramayana_anvaya_1_1_15	सर्वशास्त्रार्थतत्त्वज्ञस्स्मृतिमान्प्रतिभानवान् सर्वलोकप्रियस्साधुरदीनात्मा विचक्षणः	सर्वशास्त्रार्थतत्त्वज्ञः स्मृतिमान् प्रतिभानवान् सर्वलोकप्रियः साधुः अदीनात्मा विचक्षणः
vrd_ramayana_anvaya_1_1_16	सर्वदाभिगतस्सद्भिस्समुद्र इव सिन्धुभिः आर्यस्सर्वसमश्चैव सदैकप्रियदर्शनः	समुद्रः सिन्धुभिः इव सद्भिः सर्वदा अभिगतः आर्यः सर्वसमः च एव सदैकप्रियदर्शनः
vrd_ramayana_anvaya_1_1_17	स च सर्वगुणोपेतः कौसल्यानन्दवर्धनः समुद्र इव गाम्भीर्ये धैर्येण हिमवानिव	कौसल्यानन्दवर्धनः सः च सर्वगुणोपेतः गाम्भीर्ये समुद्रः इव धैर्येण हिमवान् इव
vrd_ramayana_anvaya_1_1_18	विष्णुना सदृशो वीर्ये सोमवत्प्रियदर्शनः कालाग्निसदृशः क्रोधे क्षमया पृथिवीसमः धनदेन समस्त्यागे सत्ये धर्म इवापरः	वीर्ये विष्णुना सदृशः सोमवत् प्रियदर्शनः क्रोधे कालाग्निसदृशः क्षमया पृथिवीसमः त्यागे धनदेन समः सत्ये अपरः धर्मः इव
vrd_ramayana_anvaya_1_1_19	तमेवं गुणसम्पन्नं रामं सत्यपराक्रमम् ज्येष्ठं श्रेष्ठगुणैर्युक्तं प्रियं दशरथस्सुतम् प्रकृतीनां हितैर्युक्तं प्रकृतिप्रियकाम्यया यौवराज्येन संयोक्तुमैच्छत्प्रीत्या महीपतिः	महीपतिः दशरथः एवं गुणसम्पन्नम् सत्यपराक्रमम् श्रेष्ठगुणैः युक्तम् प्रियम् प्रकृतीनाम् हितैः युक्तम् ज्येष्ठम् सुतम् तं रामम् प्रकृतिप्रियकाम्यया प्रीत्या यौवराज्येन संयोक्तुम् ऐच्छत्
vrd_ramayana_anvaya_1_1_21	तस्याभिषेकसम्भारान्दृष्ट्वा भार्याऽथ कैकयी पूर्वं दत्तवरा देवी वरमेनमयाचत विवासनं च रामस्य भरतस्याभिषेचनम्	अथ तस्य अभिषेकसम्भारान् दृष्ट्वा पूर्वम् दत्तवरा भार्या देवी कैकयी रामस्य विवासनम् भरतस्य अभिषेचनम् वरम् एनम् अयाचत
vrd_ramayana_anvaya_1_1_23	स सत्यवचनाद्राजा धर्मपाशेन संयतः विवासयामास सुतं रामं दशरथः प्रियम्	सः दशरथः सत्यवचनात् धर्मपाशेन संयतः प्रियं सुतम् रामम् विवासयामास
vrd_ramayana_anvaya_1_1_24	स जगाम वनं वीरः प्रतिज्ञामनुपालयन् पितुर्वचननिर्देशात्कैकेय्याः प्रियकारणात्	वीरः सः कैकेय्याः प्रियकारणात् पितुः वचननिर्देशात् प्रतिज्ञाम् अनुपालयन् वनम् जगाम
vrd_ramayana_anvaya_1_1_25	तं व्रजन्तं प्रियो भ्राता लक्ष्मणोऽनुजगाम ह स्नेहाद्विनयसम्पन्नस्सुमित्रानन्दवर्धनः भ्रातरं दयितो भ्रातुस्सौभ्रात्रमनुदर्शयन्	विनयसम्पन्नः भ्रातुः दयितः प्रियः भ्राता सुमित्रानन्दवर्धनः लक्ष्मणः सौभ्रात्रम् अनुदर्शयन् व्रजन्तम् तं भ्रातरम् स्नेहात् अनुजगाम ह
vrd_ramayana_anvaya_1_1_26	रामस्य दयिता भार्या नित्यं प्राणसमा हिता जनकस्य कुले जाता देवमायेव निर्मिता सर्वलक्षणसम्पन्ना नारीणामुत्तमा वधूः सीताप्यनुगता रामं शशिनं रोहिणी यथा	रामस्य दयिता भार्या प्राणसमा नित्यम् हिता जनकस्य कुले जाता निर्मिता देवमायेव सर्वलक्षणसम्पन्ना नारीणाम् उत्तमा वधूः सीतापि रोहिणी शशिनम् यथा रामम् अनुगता
vrd_ramayana_anvaya_1_1_28	पौरैरनुगतो दूरं पित्रा दशरथेन च शृङ्गिबेरपुरे सूतं गङ्गाकूले व्यसर्जयत् गुहमासाद्य धर्मात्मा निषादाधिपतिं प्रियम् गुहेन सहितो रामो लक्ष्मणेन च सीतया	पौरैः पित्रा दशरथेन च दूरम् अनुगतः धर्मात्मा रामः गङ्गाकूले शृङ्गिबेरपुरे निषादाधिपतिम् प्रियम् गुहम् आसाद्य गुहेन लक्ष्मणेन सीतया च सहितः सूतम् व्यसर्जयत्
vrd_ramayana_anvaya_1_1_30	ते वनेन वनं गत्वा नदीस्तीर्त्वा बहूदकाः चित्रकूटमनुप्राप्य भरद्वाजस्य शासनात् रम्यमावसथं कृत्वा रममाणा वने त्रयः देवगन्धर्वसङ्काशास्तत्र ते न्यवसन् सुखम्	ते वनेन वनम् गत्वा बहूदकाः नदीः तीर्त्वा भरद्वाजस्य शासनात् चित्रकूटम् अनुप्राप्य रम्यम् आवसथम् कृत्वा ते त्रयः तत्र वने रममाणाः देवगन्धर्वसङ्काशाः सुखम् न्यवसन्
vrd_ramayana_anvaya_1_1_32	चित्रकूटं गते रामे पुत्रशोकातुरस्तथा राजा दशरथस्स्वर्गं जगाम विलपन्सुतम्	तथा रामे चित्रकूटम् गते पुत्रशोकातुरः राजा दशरथः सुतम् विलपन् स्वर्गम् जगाम
vrd_ramayana_anvaya_1_1_33	मृते तु तस्मिन्भरतो वसिष्ठप्रमुखैर्द्विजैः नियुज्यमानो राज्याय नैच्छद्राज्यं महाबलः	तस्मिन् मृते वसिष्ठप्रमुखैः द्विजैः राज्याय नियुज्यमानः महाबलः भरतः तु राज्यम् नैच्छत् .
vrd_ramayana_anvaya_1_1_34	स जगाम वनं वीरो रामपादप्रसादकः	वीरः रामपादप्रसादकः स वनं जगाम
vrd_ramayana_anvaya_1_1_35	गत्वा तु सुमहात्मानं रामं सत्यपराक्रमम् अयाचद्भ्रातरं राममार्यभावपुरस्कृतः त्वमेव राजा धर्मज्ञ इति रामं वचोऽब्रवीत्	आर्यभावपुरस्कृतः सुमहात्मानम् सत्यपराक्रमम् गत्वा रामम् भ्रातरं रामम् अयाचत् धर्मज्ञः त्वमेव राजा इति रामम् वचः अब्रवीत्
vrd_ramayana_anvaya_1_1_36	रामोऽपि परमोदारस्सुमुखस्सुमहायशाः न चैच्छत्पितुरादेशाद्राज्यं रामो महाबलः	रामोऽपि परमोदारोऽपि सुमुखोऽपि राम सुमहायशाः महाबलः पितुः आदेशात् राज्यम् नैच्छत्
vrd_ramayana_anvaya_1_1_37	पादुके चास्य राज्याय न्यासं दत्वा पुनःपुनः निवर्तयामास ततो भरतं भरताग्रजः	भरताग्रजः राज्याय अस्य पादुके न्यासम् दत्वा ततः पुनःपुनः भरतम् निवर्तयामास
vrd_ramayana_anvaya_1_1_38	स काममनवाप्यैव रामपादावुपस्पृशन् नन्दिग्रामेऽकरोद्राज्यं रामागमनकाङ्क्षया	सः कामम् अनवाप्यैव रामपादौ उपस्पृशन् रामागमनकाङ्क्षया नन्दिग्रामे राज्यम् अकरोत्
vrd_ramayana_anvaya_1_1_39	गते तु भरते श्रीमान् सत्यसन्धो जितेन्द्रियः रामस्तु पुनरालक्ष्य नागरस्य जनस्य च तत्रागमनमेकाग्रो दण्डकान्प्रविवेश ह	भरते गते तु श्रीमान् सत्यसन्धः जितेन्द्रियः रामः तु नागरस्य जनस्य च पुनः तत्र आगमनम् आलक्ष्य एकाग्रः दण्डकान् प्रविवेश ह
vrd_ramayana_anvaya_1_1_41	प्रविश्य तु महारण्यं रामो राजीवलोचनः विराधं राक्षसं हत्वा शरभङ्गं ददर्श ह सुतीक्ष्णं चाप्यगस्त्यं च अगस्त्यभ्रातरं तथा	राजीवलोचनः रामः महारण्यम् प्रविश्य तु विराधम् राक्षसम् हत्वा शरभङ्गम् सुतीक्ष्णं च अगस्त्यं च तथा अगस्त्यभ्रातरं च ददर्श ह
vrd_ramayana_anvaya_1_1_42	अगस्त्यवचनाच्चैव जग्राहैन्द्रं शरासनम् खड्गं च परमप्रीतस्तूणी चाक्षयसायकौ	अगस्त्यवचनात् च एव ऐन्द्रम् शरासनम् खड्गं च अक्षयसायकौ तूणी च परमप्रीतः जग्राह
vrd_ramayana_anvaya_1_1_43	वसतस्तस्य रामस्य वने वनचरैस्सह ऋषयोऽभ्यागमन्सर्वे वधायासुररक्षसाम्	तस्य रामस्य वने वसतः सर्वे ऋषयः वनचरैः सह असुररक्षसाम् वधाय अभ्यागमन्
vrd_ramayana_anvaya_1_1_44	स तेषां प्रतिशुश्राव राक्षसानां तथा वने प्रतिज्ञातश्च रामेण वधस्संयति रक्षसाम् ऋषीणामग्निकल्पानां दण्डकारण्यवासिनाम्	सः राक्षसानाम् वने तेषां तथा प्रतिशुश्राव ऋषीणाम् अग्निकल्पानाम् दण्डकारण्यवासिनाम् संयति रक्षसाम् वधश्च रामेण प्रतिज्ञातः
vrd_ramayana_anvaya_1_1_46	तेन तत्रैव वसता जनस्थाननिवासिनी विरूपिता शूर्पणखा राक्षसी कामरूपिणी	तत्रैव वसता तेन जनस्थाननिवासिनी कामरूपिणी राक्षसी शूर्पणखा विरूपिता
vrd_ramayana_anvaya_1_1_47	ततश्शूर्पणखावाक्यादुद्युक्तान्सर्वराक्षसान् खरं त्रिशिरसं चैव दूषणं चैव राक्षसम् निजघान वने रामस्तेषां चैव पदानुगान्	ततः शूर्पणखावाक्यात् उद्युक्तान् सर्वराक्षसान् खरम् एव त्रिशिरसं च दूषणम् राक्षसं च एव तेषाम् पदानुगान् च एव रामः वने निजघान
vrd_ramayana_anvaya_1_1_48	वने तस्मिन्निवसता जनस्थाननिवासिनाम् रक्षसां निहतान्यासन्सहस्राणि चतुर्दश	तस्मिन् वने निवसता जनस्थाननिवासिनाम् रक्षसाम् चतुर्दशसहस्राणि निहतानि आसन्
vrd_ramayana_anvaya_1_1_49	ततो ज्ञातिवधं श्रुत्वा रावणः क्रोधमूर्छितः सहायं वरयामास मारीचं नाम राक्षसम्	ततः रावणः ज्ञातिवधम् श्रुत्वा क्रोधमूर्छितः मारीचं नाम राक्षसम् सहायम् वरयामास
vrd_ramayana_anvaya_1_1_50	वार्यमाणस्सुबहुशो मारीचेन स रावणः न विरोधो बलवता क्षमो रावण तेन ते	"""रावण बलवता तेन विरोधः ते न क्षमः मारीचेन सुबहुशः वार्यमाणः सः रावणः"
vrd_ramayana_anvaya_1_1_51	अनादृत्य तु तद्वाक्यं रावणः कालचोदितः जगाम सह मारीचस्तस्याश्रमपदं तदा	रावणः कालचोदितः तद्वाक्यम् अनादृत्य तु सहमारीचः तस्य आश्रमपदम् तदा जगाम
vrd_ramayana_anvaya_1_1_52	तेन मायाविना दूरमपवाह्य नृपात्मजौ जहार भार्यां रामस्य गृध्रं हत्वा जटायुषम्	मायाविना तेन नृपात्मजौ दूरम् अपवाह्य जटायुषम् गृध्रम् हत्वा रामस्य भार्याम् जहार
vrd_ramayana_anvaya_1_1_53	गृध्रं च निहतं दृष्ट्वा हृतां श्रुत्वा च मैथिलीम् राघवश्शोकसन्तप्तो विललापाकुलेन्द्रियः	राघवः निहतम् गृध्रम् दृष्ट्वा मैथिलीम् हृताम् श्रुत्वा च शोकसन्तप्तः आकुलेन्द्रियः विललाप
vrd_ramayana_anvaya_1_1_54	ततस्तेनैव शोकेन गृध्रं दग्ध्वा जटायुषम् मार्गमाणो वने सीतां राक्षसं सन्ददर्श ह कबन्धन्नाम रूपेण विकृतं घोरदर्शनम्	तेनैव शोकेन ततः गृध्रं जटायुषम् दग्ध्वा वने सीताम् मार्गमाणः रूपेण विकृतम् घोरदर्शनम् कबन्धन्नाम राक्षसम् सन्ददर्श ह
vrd_ramayana_anvaya_1_1_56	तं निहत्य महाबाहुर्ददाह स्वर्गतश्च सः स चास्य कथयामास शबरीं धर्मचारिणीम् श्रमणीं धर्मनिपुणामभिगच्छेति राघव	महाबाहुः तम् निहत्य ददाह सः स्वर्गतश्च स च राघव धर्मचारिणीम् धर्मनिपुणाम् श्रमणीम् शबरीम् अभिगच्छ अस्य इति कथयामास
vrd_ramayana_anvaya_1_1_57	सोऽभ्यगच्छन्महातेजाश्शबरीं शत्रुसूदनः शबर्या पूजितस्सम्यग्रामो दशरथात्मजः	महातेजाः शत्रुसूदनः सः शबरीम् अभ्यगच्छत् दशरथात्मजः रामः शबर्या सम्यक् पूजितः
vrd_ramayana_anvaya_1_1_58	पम्पातीरे हनुमता सङ्गतो वानरेण ह हनुमद्वचनाच्चैव सुग्रीवेण समागतः	पम्पातीरे वानरेण हनुमता सङ्गतः ह हनुमद्वचनात् सुग्रीवेण चैव समागतः
vrd_ramayana_anvaya_1_1_59	सुग्रीवाय च तत्सर्वं शंसद्रामो महाबलः आदितस्तद्यथावृत्तं सीतायाश्च विशेषतः	महाबलः रामः आदितः तत् सर्वम् विशेषतः सीतायाश्च यथावृत्तं सुग्रीवाय च शंसत्
vrd_ramayana_anvaya_1_1_60	सुग्रीवश्चापि तत्सर्वं श्रुत्वा रामस्य वानरः चकार सख्यं रामेण प्रीतश्चैवाग्निसाक्षिकम्	वानरः सुग्रीवः रामस्य तत् सर्वम् श्रुत्वा प्रीतः अग्निसाक्षिकं चैव रामेण सख्यं चकार,
vrd_ramayana_anvaya_1_1_61	ततो वानरराजेन वैरानुकथनं प्रति रामायावेदितं सर्वं प्रणयाद्दुःखितेन च	ततः दुःखितेन वानरराजेन वैरानुकथनं प्रति रामाय सर्वम् प्रणयात् आवेदितम्
vrd_ramayana_anvaya_1_1_62	प्रतिज्ञातं च रामेण तदा वालिवधं प्रति वालिनश्च बलं तत्र कथयामास वानरः	तदा रामेण वालिवधं प्रति प्रतिज्ञातम् तत्र वानरः वालिनः बलम् च कथयामास
vrd_ramayana_anvaya_1_1_63	सुग्रीवश्शङ्कितश्चासीन्नित्यं वीर्येण राघवे राघवप्रत्ययार्थं तु दुन्दुभेः कायमुत्तमम् दर्शयामास सुग्रीवो महापर्वतसन्निभम्	सुग्रीवश्च राघवे वीर्येण नित्यम् शङ्कितः आसीत् सुग्रीवः राघवप्रत्ययार्थम् दुन्दुभेः महापर्वतसन्निभम् उत्तमं कायम् दर्शयामास
vrd_ramayana_anvaya_1_1_65	उत्स्मयित्वा महाबाहुः प्रेक्ष्य चास्थि महाबलः पादाङ्गुष्ठेन चिक्षेप सम्पूर्णं दशयोजनम्	महाबलः महाबाहुः अस्थि प्रेक्ष्य उत्स्मयित्वा पादाङ्गुष्ठेन सम्पूर्णं दशयोजनम् चिक्षेप
vrd_ramayana_anvaya_1_1_66	बिभेद च पुनस्सालान्सप्तैकेन महेषुणा गिरिं रसातलं चैव जनयन्प्रत्ययं तथा	तथा पुनश्च प्रत्ययम् जनयन् एकेन महेषुणा सप्त सालान् गिरिम् रसातलं चैव बिभेद
vrd_ramayana_anvaya_1_1_67	ततः प्रीतमनास्तेन विश्वस्तस्स महाकपिः किष्किन्धां रामसहितो जगाम च गुहां तदा	ततः तेन प्रीतमनाः स महाकपिः विश्वस्तः च रामसहितः तदा गुहाम् किष्किन्धाम् जगाम
vrd_ramayana_anvaya_1_1_68	ततोऽगर्जद्धरिवरः सुग्रीवो हेमपिङ्गलः तेन नादेन महता निर्जगाम हरीश्वरः	ततः हरिवरः हेमपिङ्गलः सुग्रीवः अगर्जत् तेन महता नादेन हरीश्वरः निर्जगाम
vrd_ramayana_anvaya_1_1_69	अनुमान्य तदा तारां सुग्रीवेण समागतः निजघान च तत्रैनं शरेणैकेन राघवः	तदा ताराम् अनुमान्य सुग्रीवेण समागतः राघवः तत्र एनम् एकेन शरेण च निजघान
vrd_ramayana_anvaya_1_1_70	ततस्सुग्रीववचनाद्धत्वा वालिनमाहवे सुग्रीवमेव तद्राज्ये राघवः प्रत्यपादयत्	राघवः सुग्रीववचनात् वालिनम् आहवे हत्वा ततः तद्राज्ये सुग्रीवमेव प्रत्यपादयत्
vrd_ramayana_anvaya_1_1_71	स च सर्वान्समानीय वानरान्वानरर्षभः दिशः प्रस्थापयामास दिदृक्षुर्जनकात्मजाम्	सः वानरर्षभः च जनकात्मजाम् दिदृक्षुः सर्वान् वानरान् समानीय दिशः प्रस्थापयामास
vrd_ramayana_anvaya_1_1_72	ततो गृध्रस्य वचनात्सम्पातेर्हनुमान्बली शतयोजनविस्तीर्णं पुप्लुवे लवणार्णवम्	ततः बली हनुमान् सम्पातेः गृध्रस्य वचनात् शतयोजनविस्तीर्णम् 800 लवणार्णवम् पुप्लुवे
vrd_ramayana_anvaya_1_1_73	तत्र लङ्कां समासाद्य पुरीं रावणपालिताम् ददर्श सीतां ध्यायन्तीमशोकवनिकां गताम्	रावणपालिताम् लङ्काम् पुरीम् समासाद्य तत्र अशोकवनिकाम् गताम् ध्यायन्तीम् सीताम् ददर्श
vrd_ramayana_anvaya_1_1_74	निवेदयित्वाऽऽभिज्ञानं प्रवृत्तिं च निवेद्य च समाश्वास्य च वैदेहीं मर्दयामास तोरणम्	अभिज्ञानम् निवेदयित्वा प्रवृत्तिं च निवेद्य च वैदेहीम् समाश्वास्य तोरणम् मर्दयामास
vrd_ramayana_anvaya_1_1_75	पञ्च सेनाग्रगान्हत्वा सप्तमन्त्रिसुतानपि शूरमक्षं च निष्पिष्य ग्रहणं समुपागमत्	पञ्च सेनाग्रगान् सप्त मन्त्रिसुतानपि हत्वा शूरम् अक्षं च निष्पिष्य ग्रहणम् समुपागमत्
vrd_ramayana_anvaya_1_1_76	अस्त्रेणोन्मुक्तमात्मानं ज्ञात्वा पैतामहाद्वरात् मर्षयन्राक्षसान्वीरो यन्त्रिणस्तान्यदृच्छया ततो दग्ध्वा पुरीं लङ्कामृते सीतां च मैथिलीम् रामाय प्रियमाख्यातुं पुनरायान्महाकपिः	वीरः महाकपिः पैतामहात् वरात् आत्मानम् अस्त्रेण उन्मुक्तम् ज्ञात्वा यदृच्छया यन्त्रिणः तान् राक्षसान् मर्षयन् ततः मैथिलीम् सीतां ऋते लङ्कां पुरीम् दग्ध्वा रामाय प्रियम् आख्यातुम् पुनः आयात्
vrd_ramayana_anvaya_1_1_78	सोऽधिगम्य महात्मानं कृत्वा रामं प्रदक्षिणम् न्यवेदयदमेयात्मा दृष्टा सीतेति तत्त्वतः	अमेयात्मा सः महात्मानम् रामम् अधिगम्य प्रदक्षिणम् कृत्वा दृष्टा सीता इति तत्त्वतः न्यवेदयत्
vrd_ramayana_anvaya_1_1_79	ततस्सुग्रीवसहितो गत्वा तीरं महोदधेः समुद्रं क्षोभयामास शरैरादित्यसन्निभैः	ततः सुग्रीवसहितः महोदधेः तीरम् गत्वा आदित्यसन्निभैः शरैः समुद्रम् क्षोभयामास
vrd_ramayana_anvaya_1_1_80	दर्शयामास चात्मानं समुद्रस्सरितां पतिः समुद्रवचनाच्चैव नलं सेतुमकारयत्	सरितां पतिः समुद्रः आत्मानम् दर्शयामास समुद्रवचनात् च एव , नलम् सेतुम् अकारयत्
vrd_ramayana_anvaya_1_1_81	तेन गत्वा पुरीं लङ्कां हत्वा रावणमाहवे रामः सीतामनुप्राप्य परां व्रीडामुपागमत्	रामः तेन लङ्कापुरीं गत्वा आहवे रावणम् हत्वा सीताम् प्राप्य अनु पराम् व्रीडाम् उपागमत्
vrd_ramayana_anvaya_1_1_82	तामुवाच ततो रामः परुषं जनसंसदि अमृष्यमाणा सा सीता विवेश ज्वलनं सती	ततः रामः जनसंसदि ताम् परुषम् उवाच सती सा सीता अमृष्यमाणा ज्वलनं विवेश
vrd_ramayana_anvaya_1_1_83	ततोऽग्निवचनात्सीतां ज्ञात्वा विगतकल्मषाम् बभौ रामस्सम्प्रहृष्टः पूजितस्सर्वदैवतैः	ततः अग्निवचनात् सीताम् विगतकल्मषाम् ज्ञात्वा रामः सम्प्रहृष्टः सर्वदैवतैः पूजितः बभौ
vrd_ramayana_anvaya_1_1_84	कर्मणा तेन महता त्रैलोक्यं सचराचरम् सदेवर्षिगणं तुष्टं राघवस्य महात्मनः	महात्मनः राघवस्य तेन महता कर्मणा सचराचरम् सदेवर्षिगणम् त्रैलोक्यम् तुष्टम्
vrd_ramayana_anvaya_1_1_85	अभिषिच्य च लङ्कायां राक्षसेन्द्रं विभीषणम् कृतकृत्यस्तदा रामो विज्वरः प्रमुमोद ह	रामः विभीषणम् राक्षसेन्द्रम् लङ्कायाम् अभिषिच्य तदा कृतकृत्यः विज्वरः प्रमुमोद ह
vrd_ramayana_anvaya_1_1_86	देवताभ्यो वरं प्राप्य समुत्थाप्य च वानरान् अयोध्यां प्रस्थितो रामः पुष्पकेण सुहृद्वृतः	रामः देवताभ्यः वरम् प्राप्य वानरान् समुत्थाप्य च सुहृद्वृतः पुष्पकेण अयोध्याम् प्रस्थितः
vrd_ramayana_anvaya_1_1_87	भरद्वाजाश्रमं गत्वा रामस्सत्यपराक्रमः भरतस्यान्तिकं रामो हनूमन्तं व्यसर्जयत्	सत्यपराक्रमः रामः भरद्वाजाश्रमम् गत्वा भरतस्यान्तिकम् हनूमन्तम् रामः व्यसर्जयत्
vrd_ramayana_anvaya_1_1_88	पुनराख्यायिकां जल्पन्सुग्रीवसहितश्च सः पुष्पकं तत्समारुह्य नन्दिग्रामं ययौ तदा	पुनः सुग्रीवसहितः सः आख्यायिकाम् जल्पन् तदा तत् पुष्पकं समारुह्य नन्दिग्रामम् ययौ
vrd_ramayana_anvaya_1_1_89	नन्दिग्रामे जटां हित्वा भ्रातृभिस्सहितोऽनघः रामस्सीतामनुप्राप्य राज्यं पुनरवाप्तवान्	अनघः रामः नन्दिग्रामे भ्रातृभिः सहितः जटाम् हित्वा सीताम् अनुप्राप्य राज्यम् पुनः अवाप्तवान्
vrd_ramayana_anvaya_1_1_90	प्रहृष्टमुदितो लोकस्तुष्टः पुष्टस्सुधार्मिकः निरामयो ह्यरोगश्च दुर्भिक्षभयवर्जितः	लोकः प्रहृष्टमुदितः तुष्टः पुष्टः सुधार्मिकः निरामयः अरोगः दुर्भिक्षभयवर्जितः च
vrd_ramayana_anvaya_1_1_91	न पुत्रमरणं किञ्चिद्द्रक्ष्यन्ति पुरुषाः क्वचित् नार्यश्चाविधवा नित्यं भविष्यन्ति पतिव्रताः	पुरुषाः क्वचित् किञ्चित् पुत्रमरणम् न द्रक्ष्यन्ति नार्यश्च अविधवाः नित्यम् पतिव्रताः भविष्यन्ति
vrd_ramayana_anvaya_1_1_92	न चाग्निजं भयं किञ्चिन्नाप्सु मज्जन्ति जन्तवः न वातजं भयं किञ्चिन्नापि ज्वरकृतं तथा न चापि क्षुद्भयं तत्र न तस्करभयं तथा	तत्र अग्निजं भयम् किञ्चित् न जन्तवः अप्सु न मज्जन्ति वातजं भयम् किञ्चित् न तथा ज्वरकृतम् अपि न न क्षुद्भयम् अपि तथा तस्करभयं न
vrd_ramayana_anvaya_1_1_93	नगराणि च राष्ट्राणि धनधान्ययुतानि च नित्यं प्रमुदितास्सर्वे यथा कृतयुगे तथा	नगराणि च राष्ट्राणि च धनधान्ययुतानि यथा कृतयुगे तथा सर्वे नित्यम् प्रमुदिताः
